5.5925	7.1229
4.6995	6.1111
6.6080	8.5524
5.1118	7.6302
6.7178	8.2319
6.5168	6.7678
5.9697	7.4066
5.5438	6.0507
6.4525	6.6521
7.0998	8.2707
4.9328	7.0246
3.7191	7.0551
5.2291	5.9870
4.3736	7.2301
3.7326	6.2535
3.8784	6.9828
7.4680	6.6825
3.5767	8.5594
5.9980	7.1078
4.4828	8.4461
5.1912	6.0239
6.4480	7.0667
6.1869	7.8036
4.7482	7.0697
3.8239	6.2323
4.1881	7.9579
5.1158	7.9757
7.3109	8.0119
3.9623	6.6662
5.2017	6.3730
4.2350	6.2971
3.7396	6.2865
3.8499	7.3889
7.1475	7.5947
5.1967	8.1014
3.9831	7.9219
6.0867	6.4959
5.6539	8.2257
4.7855	6.7843
5.4652	6.2195
5.4518	7.0088
6.8896	7.6205
5.6252	7.1228
4.3344	6.3338
6.1902	7.1749
4.5982	6.5876
6.2835	7.4473
4.2004	8.4979
7.2246	7.8767
6.5809	6.4372
10.5240	13.0493
11.5287	9.0164
11.7918	12.8609
16.2453	11.4040
16.2026	13.0219
17.5737	12.5573
17.1383	9.3368
10.0166	14.0109
10.5654	13.8318
19.2759	14.4607
17.8477	14.0691
18.2027	11.1931
13.4994	14.5463
16.9433	14.4645
16.1382	10.3034
13.9730	11.0358
10.9554	11.9982
8.3459	11.8735
16.8999	10.2408
8.9807	10.7567
14.1371	13.2370
11.8092	13.2425
17.5561	12.7844
16.3456	9.8328
19.7408	13.9257
19.3537	9.2875
14.2233	9.6485
8.6332	11.5275
8.1591	13.6047
15.1718	9.3589
16.0280	10.3345
18.4656	11.8428
8.1048	14.8797
12.5964	13.4266
19.4147	9.1598
13.5884	14.4763
16.0286	13.9607
19.5715	13.4675
13.0936	14.3629
12.7194	10.3371
17.8444	9.7568
18.5368	10.2770
11.4526	10.4369
8.6228	10.5728
18.2324	14.3926
19.0157	13.4479
13.4796	12.2849
15.9949	13.3382
19.4161	13.5452
8.3595	9.5581
21.3267	6.7835
22.3366	6.4183
23.8980	6.0005
20.0384	6.4290
22.6307	6.7584
21.6505	6.2630
19.6674	6.3283
23.6190	6.2516
19.1596	6.2695
22.4307	6.5104
20.8197	6.0902
23.3855	6.6669
23.1791	6.0127
20.0034	6.9252
21.0673	6.0158
21.6313	6.9607
20.5115	6.5103
22.6682	6.9432
20.8926	6.1012
23.7277	6.4990
23.7550	6.5846
19.3590	6.6448
21.9948	6.3688
19.1449	6.4840
19.9341	6.9276
23.7751	6.2279
23.4922	6.4261
19.4162	6.3921
21.0202	6.6074
19.8248	6.4903
21.1855	6.6044
22.4980	6.4191
19.9664	6.0011
20.7338	6.7401
21.3825	6.5088
22.3616	6.1816
20.1499	6.8333
20.9259	6.0583
23.8474	6.7956
22.3543	6.8574
22.2223	6.1330
19.7251	6.6769
21.9450	6.7204
23.3518	6.3978
19.7449	6.3092
22.3865	6.4246
21.7712	6.5270
21.1871	6.5505
21.7589	6.0887
23.4602	6.9140
